Session Name,Session Date,Count time,Attendee Count,Notes
Pathfinder Society Scenario Intro 1: First Steps - Part II: To Delve the Dungeon Deep,27-Apr-13,9:14 PM,7,
Inkscape for LASER Cutter Use,27-Apr-13,9:20 PM,14,
IPv6 and Your Enterprise Network,27-Apr-13,9:34 PM,14,
Play Around on GitHub,27-Apr-13,9:34 PM,20,
Science and Society,27-Apr-13,9:36 PM,40,
Sanity Claws Radio Podcast,27-Apr-13,9:37 PM,7,
Alternative Lifestyles and Parenting,27-Apr-13,9:39 PM,40,
FandSF Writer's Workshop,27-Apr-13,9:40 PM,0,
RHR - Annual Transylvanian Convention (Musical Meetup and Dance Party),27-Apr-13,9:41 PM,4,
Devo Spice (Performance),27-Apr-13,9:42 PM,23,
Open & Scheduled Gaming,27-Apr-13,9:44 PM,16,
Running the Game: A Crash Course,27-Apr-13,9:44 PM,22,
Pathfinder Society Scenario Intro 1: First Steps - Part II: To Delve the Dungeon Deep,27-Apr-13,9:45 PM,7,
Inkscape for LASER Cutter Use,27-Apr-13,9:50 PM,14,
B. Nektar Mead Tasting II,27-Apr-13,9:53 PM,3,
Sanity Claws Radio Podcast,27-Apr-13,10:04 PM,8,
Urban Astronomy: Your Sky Tonight,27-Apr-13,10:04 PM,45,
"How to Remove Unwanted Paranormal Elements from Life, Home and Being",27-Apr-13,10:09 PM,21,
Braving the Eye of Argon - How Long can YOU Hold Out?,27-Apr-13,10:10 PM,17,
Geek Prom,27-Apr-13,10:12 PM,28,
Rocky Horror Mingle,27-Apr-13,10:12 PM,10,
Piko Piko: Nikola Lazar Whallon (Performance),27-Apr-13,10:13 PM,21,
Open & Scheduled Gaming,27-Apr-13,10:14 PM,27,
Pathfinder Society Scenario Intro 1: First Steps - Part II: To Delve the Dungeon Deep,27-Apr-13,10:14 PM,0,
The Polyamory Survival Guide: Intermediate,27-Apr-13,10:15 PM,39,
Coding Conversations,27-Apr-13,10:17 PM,4,
Will You Eat This?,27-Apr-13,10:21 PM,22,
Urban Astronomy: Your Sky Tonight,27-Apr-13,10:29 PM,41,
Sanity Claws Radio Podcast,27-Apr-13,10:34 PM,13,
Braving the Eye of Argon - How Long can YOU Hold Out?,27-Apr-13,10:40 PM,20,
"How to Remove Unwanted Paranormal Elements from Life, Home and Being",27-Apr-13,10:40 PM,14,
The Polyamory Survival Guide: Intermediate,27-Apr-13,10:40 PM,40,
Geek Prom,27-Apr-13,10:43 PM,47,
Rocky Horror Mingle,27-Apr-13,10:44 PM,0,
Piko Piko: Nikola Lazar Whallon (Performance),27-Apr-13,10:45 PM,22,
Coding Conversations,27-Apr-13,10:47 PM,11,
Open & Scheduled Gaming,27-Apr-13,10:47 PM,40,
Pathfinder Society Scenario Intro 1: First Steps - Part II: To Delve the Dungeon Deep,27-Apr-13,10:47 PM,0,
Will You Eat This?,27-Apr-13,10:51 PM,0,
Why Do Women Like the Bad Guy?,27-Apr-13,11:04 PM,12,
Open Kink II,27-Apr-13,11:05 PM,13,
Best Brain Hacks,27-Apr-13,11:06 PM,2,
BDSM 201,27-Apr-13,11:09 PM,29,
Open Reading Session I,27-Apr-13,11:09 PM,0,
Geek Prom,27-Apr-13,11:10 PM,24,
Rocky Horror Mingle,27-Apr-13,11:10 PM,7,
Inverse Phase (Performance),27-Apr-13,11:12 PM,33,
Divination With Dominion Cards,27-Apr-13,11:13 PM,3,
Open & Scheduled Gaming,27-Apr-13,11:14 PM,42,
Open Soda Demo III,27-Apr-13,11:16 PM,12,
Best Brain Hacks,27-Apr-13,11:36 PM,3,
Open Kink II,27-Apr-13,11:36 PM,22,
Why Do Women Like the Bad Guy?,27-Apr-13,11:37 PM,11,
BDSM 201,27-Apr-13,11:38 PM,32,
Geek Prom,27-Apr-13,11:39 PM,21,
Open Reading Session I,27-Apr-13,11:39 PM,0,
"""The Rocky Horror Picture Show""",27-Apr-13,11:41 PM,13,
Inverse Phase (Performance),27-Apr-13,11:42 PM,47,
Divination With Dominion Cards,27-Apr-13,11:47 PM,2,
Open & Scheduled Gaming,27-Apr-13,11:52 PM,41,
Open Soda Demo III,27-Apr-13,11:55 PM,5,
1st Annual Penguicon Pillow Fight,28-Apr-13,10:05 AM,3,"Was in the book, but not on the program grid"
RHR - Annual Transylvanian Convention (Film Study) II,28-Apr-13,10:05 AM,2,
Sunday Morning Linux Review,28-Apr-13,10:05 AM,15,
Open & Scheduled Gaming,28-Apr-13,10:10 AM,4,
Open Demos of Mayfair Games and Steve Jackson Games II,28-Apr-13,10:10 AM,4,
Intro Arduino I,28-Apr-13,10:15 AM,6,
LN2 Sunday Brunch,28-Apr-13,10:15 AM,10,
1st Annual Penguicon Pillow Fight,28-Apr-13,10:42 AM,0,
RHR - Annual Transylvanian Convention (Film Study) II,28-Apr-13,10:42 AM,5,
Sunday Morning Linux Review,28-Apr-13,10:42 AM,19,
Open & Scheduled Gaming,28-Apr-13,10:45 AM,9,
Open Demos of Mayfair Games and Steve Jackson Games II,28-Apr-13,10:45 AM,5,
Getting the Most Out of E-Books for the Digital Library,28-Apr-13,11:09 AM,12,
How to Conduct a Scrum Poker Session Using Story Points,28-Apr-13,11:09 AM,4,
Grange Jr. Makers - Creating Programming for Young Makers,28-Apr-13,11:10 AM,4,
I'm Agnostic is Not a Valid Response When I Say I'm an Athiest,28-Apr-13,11:10 AM,27,
RHR - Annual Transylvanian Convention (Film Study) II,28-Apr-13,11:10 AM,7,
Sunday Morning Linux Review,28-Apr-13,11:10 AM,13,
I'm Agnostic is Not a Valid Response When I Say I'm an Athiest,28-Apr-13,11:13 AM,33,
Getting the Most Out of E-Books for the Digital Library,28-Apr-13,11:42 AM,12,
How to Conduct a Scrum Poker Session Using Story Points,28-Apr-13,11:42 AM,9,
RHR - Annual Transylvanian Convention (Film Study) II,28-Apr-13,11:43 AM,2,
Grange Jr. Makers - Creating Programming for Young Makers,28-Apr-13,11:45 AM,5,
Roger Zelanzy Fans,28-Apr-13,12:10 PM,4,"Appeared to just be people sitting in the room, not discussing anything"
How to Build and Deploy a Kanban Board,28-Apr-13,12:13 PM,0,
Polyphasic Sleep,28-Apr-13,12:13 PM,39,
How I Became an iOS Developer for Fun and Debt,28-Apr-13,12:14 PM,26,
Building Sustainable Open Source Communities,28-Apr-13,12:15 PM,14,
Open Film Room,28-Apr-13,12:15 PM,9,
Open Reading Session II,28-Apr-13,12:15 PM,0,"Checked again later, still 0"
Why Can't Ashley Sing?,28-Apr-13,12:15 PM,7,Presenter not present
Introduction to Western Martial Arts Weaponry Sword and Dagger,28-Apr-13,12:17 PM,19,
Open & Scheduled Gaming,28-Apr-13,12:20 PM,28,
Building Sustainable Open Source Communities,28-Apr-13,12:45 PM,14,
How I Became an iOS Developer for Fun and Debt,28-Apr-13,12:45 PM,21,
How to Build and Deploy a Kanban Board,28-Apr-13,12:45 PM,8,
Polyphasic Sleep,28-Apr-13,12:45 PM,41,
Open Film Room,28-Apr-13,12:49 PM,10,
Why Can't Ashley Sing?,28-Apr-13,12:49 PM,0,Presenter not present
Introduction to Western Martial Arts Weaponry Sword and Dagger,28-Apr-13,12:50 PM,19,
Open & Scheduled Gaming,28-Apr-13,1:00 PM,33,
Hands-On Intro to Livecoding,28-Apr-13,1:05 PM,7,
Introduction to Lightsaber Combat,28-Apr-13,1:05 PM,10,Canceled - Presenter unable to attend
It's Just a Web Site: How Poor Web Programming is Ruining Information Security,28-Apr-13,1:12 PM,34,
Penguicon 48 Awards Ceremony,28-Apr-13,1:15 PM,0,
Preemie Growth Project,28-Apr-13,1:15 PM,14,
Open Film Room,28-Apr-13,1:17 PM,13,
Open Reading Session II,28-Apr-13,1:17 PM,2,
Paint 'N Take III,28-Apr-13,1:17 PM,11,
Introduction to Western Martial Arts Weaponry Spear and Quarterstaff,28-Apr-13,1:18 PM,20,
Introduction to Western Martial Arts Weaponry Spear and Quarterstaff,28-Apr-13,1:45 PM,20,
It's Just a Web Site: How Poor Web Programming is Ruining Information Security,28-Apr-13,1:45 PM,37,
Open Film Room,28-Apr-13,1:45 PM,13,
Open Reading Session II,28-Apr-13,1:45 PM,0,
Paint 'N Take III,28-Apr-13,1:45 PM,25,
Penguicon 48 Awards Ceremony,28-Apr-13,1:45 PM,0,
Preemie Growth Project,28-Apr-13,1:45 PM,15,
Hands-On Intro to Livecoding,28-Apr-13,1:47 PM,7,
